Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABalapaappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapap	171	96.8	116.7	112	163.3	159.1	115.2	98.6	103.8
ABalapapa	220	138.9	166.4	167.2	218.2	213.6	166.5	145.7	150.7
ABalapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapap	284	193.3	NA	233.8	285.6	280.9	220.4	200.1	NA
ABalapapapa	404	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapp	214	137.3	158.9	160.9	210.6	208.5	160.6	138.9	144
ABalapappa	279	184.9	NA	217.4	268.2	269.2	211.4	189.9	NA
ABalapappaa	394	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapappp	289	195	NA	236.3	283.1	282.6	226.3	200.1	NA
ABalapapppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapp	132	64.1	79.6	74.5	122.7	115.5	78.7	67.5	72.7
ABalappa	171	98.6	119.3	117.1	165.8	164.1	118.2	102.1	110.5
ABalappaa	239	147.3	172.7	182.2	223.1	230.4	174.1	152.4	159.1
ABalappaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaap	339	NA	NA	269	NA	321.3	247.1	235.5	NA
ABalappaapa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappap	224	138.9	162.6	165.9	212	211.9	163.6	142.3	147.3
ABalappapa	329	220.3	NA	272.8	NA	318	259.1	228.8	NA
ABalappapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappapp	289	196.7	NA	233.8	276.9	279.3	223.3	200.1	NA
ABalappappa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappp	171	95.1	112.9	108.1	160.8	154.1	112.2	98.6	102.1
ABalapppa	220	130.6	156.4	157	209.4	203.5	157.5	140.6	140.6
ABalapppaa	304	195	NA	242.6	284.4	277.6	230.8	208.5	NA
ABalapppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppap	284	183.2	NA	226.2	270.6	267.5	217.4	195	NA
ABalapppapa	404	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppp	214	132.3	155.1	157	205.7	201.8	156	137.3	140.6
ABalappppa	279	179.2	NA	218.6	260.6	262.4	208.5	186.6	NA
ABalappppaa	394	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppp	289	193.3	NA	232.5	275.7	274.2	224.8	196.7	NA
ABalapppppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalp	73	15.5	29.5	20.6	66.4	53.7	23.1	15.5	22.4
ABalpa	103	38	52.6	43.5	92.3	81.4	47.8	38	46.7
ABalpaa	132	64.1	79.6	74.5	121.5	113.9	77.2	65.8	72.7
ABalpaaa	171	102.1	125.7	124.8	170.8	167.5	122.8	107.2	108.8
ABalpaaaa	234	152.4	178.9	191	226.9	225.4	172.6	159.1	162.5
ABalpaaaaa	319	217	NA	272.8	NA	302.8	238.2	220.3	NA
ABalpaaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaap	319	223.7	NA	286.6	NA	328.1	248.6	237.2	NA
