series	offset	slope	ABala	ABalp	ABara	ABarp	ABpla	ABplp	ABpra	ABprp	E	MS	C	D
20081128_sulston	0	1	1	1	1	1	1	1	1	1	1	1	1	1
20190417_ref-2_JIM529_L2	-42.4	0.808	0.795	0.788	0.794	0.821	0.816	0.81	0.831	0.82	0.854	0.79	0.837	0.858
20181207_JIM529_L4	-36.5	0.893	0.866	0.89	0.876	0.901	0.91	0.901	0.913	0.903	0.884	0.881	0.928	0.997
20181030_JIM529_L2	-63.2	1.03	1.011	1.022	1.029	1.063	1.056	1.034	1.053	1.044	0.993	0.999	1.045	1.063
20181101_JIM529_L4	-6	0.975	0.973	0.954	0.966	0.944	0.991	1.008	1.013	0.991	1.009	0.954	0.986	0.993
20190321_ref-2_JIM529_L2	-21.2	1.034	1.016	1.008	1.028	1.071	1.052	1.062	1.065	1.044	1.027	1.01	1.053	1.084
20190423_ref-2_JIM529_L2	-43.2	0.907	0.886	0.876	0.91	0.921	0.914	0.913	0.939	0.926	0.924	0.89	0.922	0.943
20190417_ref-2_JIM529_L8	-48	0.856	0.838	0.836	0.824	0.823	0.851	0.87	0.878	0.878	0.876	0.825	0.916	0.89
20190417_ref-2_JIM529_L7	-34.2	0.801	0.786	0.81	0.788	0.777	0.814	0.814	0.827	0.801	0.828	0.782	0.803	0.845
