series	parent	daughter1	x1	y1	z1	daughter2	x2	y2	z2	dx	dy	dz	refx	refy	refz	dot
20181030_JIM529_L2	ABa	ABal	8.25661654163683	27.9851593583767	12.6	ABar	17.2507657022271	14.9240386225037	19.152	0.524178449569637	-0.761201298169541	0.381850149498174	0.267321344951963	-0.387703795413468	0.560700440856913	0.649348267672684
20181030_JIM529_L2	ABal	ABala	9.50692056670635	22.9253292382151	16.632	ABalp	11.8925098712239	26.2927041312395	21.168	0.389018029506408	0.549117797859433	0.73968548504953	0.347193663487952	0.409712638120011	0.734965142874175	0.903688144628214
20181030_JIM529_L2	ABala	ABalaa	6.64927278584225	24.1743345066277	20.664	ABalap	8.35526907627586	21.023683675922	15.624	0.275884279739397	-0.509505817810808	-0.815040910512849	0.438969301403456	-0.175802873448653	-0.805279949754001	0.867013419820587
20181030_JIM529_L2	ABalaa	ABalaaa	6.03183302085104	23.3979723896954	23.184	ABalaap	10.608304073922	28.2207177386023	23.688	0.686373899788257	0.723309837302185	0.0755893441653361	0.509266734486307	0.67774597121396	0.379815353072066	0.868477716195421
20181030_JIM529_L2	ABalaaa	ABalaaaa	8.21518104224167	24.1573836205115	26.208	ABalaaap	7.49379548800095	21.8160549630751	21.42	-0.134126482401511	-0.435320855985712	-0.890227970276414	0.245702381385887	-0.314717231521662	-0.847462604108424	0.858482692427107
20181030_JIM529_L2	ABalaaaa	ABalaaaal	9.82194012290249	19.8767407649682	19.656	ABalaaaar	9.63288286231038	18.486705746626	24.192	-0.0398185308277875	-0.292763959745372	0.955355299601633	-0.126726816970437	-0.555238884836189	0.765968792380594	0.899372355327756
20181030_JIM529_L2	ABalaaaal	ABalaaaala	6.75227685919641	25.6523061439985	21.168	ABalaaaalp	9.37907483931166	27.1899629235375	21.672	0.851418446726004	0.498397424066632	0.163360448880458	0.519706621372971	0.776184290436468	0.0971249081885247	0.845202423876267
20181030_JIM529_L2	ABalaaaala	ABalaaaalal	7.83953462798189	29.6427710973862	25.2	ABalaaaalar	7.11909078963652	27.3884373430831	24.192	-0.280069292845812	-0.876362079598258	-0.391855453767156	-0.358375603723389	-0.723020845817016	-0.411013032675348	0.895055752364305
20181030_JIM529_L2	ABalaaaalp	ABalaaaalpa	7.48590472007661	29.1245685421678	27.216	ABalaaaalpp	10.2885759382492	30.8343316961827	27.72	0.843800295600908	0.514758436669601	0.151739292937882	0.684240662553775	0.445225972622768	0.514939249694884	0.884682816611701
20181030_JIM529_L2	ABalaaaar	ABalaaaarl	6.20393939532695	23.2220991516381	23.688	ABalaaaarr	7.38608283517006	19.9031088100378	25.2	0.308334265241917	-0.865680435919143	0.394369577610355	0.340037490232564	-0.865978102382106	-0.0681450060257178	0.82763119362952
