Cell	20081128_sulston	20190417_ref-2_JIM529_L2	20181207_JIM529_L4	20181030_JIM529_L2	20181101_JIM529_L4	20190321_ref-2_JIM529_L2	20190423_ref-2_JIM529_L2	20190417_ref-2_JIM529_L8	20190417_ref-2_JIM529_L7
ABalapppaa	83	62.6	NA	84.1	73.7	72.5	71.8	66.1	NA
ABalapppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppap	63	50.8	NA	67.7	60	62.4	58.4	52.6	NA
ABalapppapa	119	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppp	42	35.5	40.8	47.5	43.5	46.1	42.3	37	36.8
ABalappppa	64	45.2	NA	60.1	53.6	58.8	51	47.6	NA
ABalappppaa	114	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalappppp	74	59.4	NA	74.1	68.6	70.6	67.3	57.7	NA
ABalapppppa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalp	21	12.1	16.1	14.7	17.5	17.4	15.4	13.8	13.9
ABalpa	29	20.8	21.8	21.5	24.5	26	23.1	20.8	22.6
ABalpaa	28	24.2	25.6	29.7	27.9	30.8	27.9	26	24.2
ABalpaaa	38	36.3	44.8	49	48.1	52	44	39.7	34.3
ABalpaaaa	62	48.6	51.9	64.8	54.9	56.2	48.3	50.3	52
ABalpaaaaa	84	62.9	NA	80.5	NA	75.7	64.1	59.5	NA
ABalpaaaaaa	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABalpaaaap	84	69.6	NA	94.3	NA	101	74.5	76.3	NA
