paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABalppa 1	31	30	28	29	30	31	29	31	30	30	32	32	29	29	28	32	31	31	32	31	31	30	31	30	28	29	30	31	29	31	30	30	32	32	29	29	28	32	31	31	32	31	31	30
ABalppaa 1	46	43	41	40	44	43	43	41	41	44	43	44	44	40	43	39	44	42	40	40	44	41	46	43	41	40	44	43	43	41	41	44	43	44	44	40	43	39	44	42	40	40	44	41
ABalppaaa 1	50	52	50	51	50	55	56	51	54	55	56	55	53	56	51	53	52	53	53	53	53	52	50	52	50	51	50	55	56	51	54	55	56	55	53	56	51	53	52	53	53	53	53	52
ABalppaaaa NA																																												
ABalppaaap 1	80	81	74	71	75	77	76	76	73	74	71	77	81	89	69	80	73	77	77	80	70	70	80	81	74	71	75	77	76	76	73	74	71	77	81	89	69	80	73	77	77	80	70	70
ABalppaaapa NA																																												
ABalppaaapp NA																																												
ABalppaap 1	48	50	50	51	50	51	49	50	54	52	50	51	49	51	49	51	51	56	50	50	50	52	48	50	50	51	50	51	49	50	54	52	50	51	49	51	49	51	51	56	50	50	50	52
ABalppaapa NA																																												
ABalppaapp 1	73	76	70	69	79	80	82	78	76	80	69	72	74	81	73	73	74	81	74	72	75	73	73	76	70	69	79	80	82	78	76	80	69	72	74	81	73	73	74	81	74	72	75	73
ABalppaappa NA																																												
ABalppaappp NA																																												
ABalppap 1	37	37	36	34	35	34	34	35	35	36	38	34	35	35	36	36	36	36	36	34	36	35	37	37	36	34	35	34	34	35	35	36	38	34	35	35	36	36	36	36	36	34	36	35
ABalppapa 1	44	47	45	44	47	46	46	48	49	47	46	48	46	46	47	44	46	50	46	49	47	46	44	47	45	44	47	46	46	48	49	47	46	48	46	46	47	44	46	50	46	49	47	46
ABalppapaa 1	86	85	88	81	78	83	85	80	84	82	80	82	86	79	78	80	86	93	81	82	84	76	86	85	88	81	78	83	85	80	84	82	80	82	86	79	78	80	86	93	81	82	84	76
ABalppapaaa NA																																												
ABalppapaap NA																																												
ABalppapap 1	75	75	78	79	78	74	74	78	78	80	80	78	72	77	79	78	79	75	79	77	73	74	75	75	78	79	78	74	74	78	78	80	80	78	72	77	79	78	79	75	79	77	73	74
ABalppapapa NA																																												
ABalppapapp NA																																												
ABalppapp 1	41	43	44	42	45	41	44	43	46	46	46	45	42	44	44	42	43	46	43	46	45	44	41	43	44	42	45	41	44	43	46	46	46	45	42	44	44	42	43	46	43	46	45	44
ABalppappa 1	82	85	75	74	71	78	76	76	81	77	71	82	74	77	69	76	77	81	74	82	81	71	82	85	75	74	71	78	76	76	81	77	71	82	74	77	69	76	77	81	74	82	81	71
ABalppappaa NA																																												
ABalppappap NA																																												
ABalppappp 1	67	68	67	61	66	66	66	70	89	65	68	67	64	69	69	66	63	65	66	66	65	63	67	68	67	61	66	66	66	70	89	65	68	67	64	69	69	66	63	65	66	66	65	63
ABalppapppa 1																			117		128	128																			117		128	128
ABalppapppaa NA																																												
ABalppapppap NA																																												
ABalppapppp NA																																												
ABalppp 1	30	29	28	27	30	30	29	29	28	29	31	28	29	28	28	30	29	31	28	29	30	28	30	29	28	27	30	30	29	29	28	29	31	28	29	28	28	30	29	31	28	29	30	28
ABalpppa 1	40	38	38	36	37	37	39	36	38	40	40	37	37	38	38	38	37	38	37	36	36	38	40	38	38	36	37	37	39	36	38	40	40	37	37	38	38	38	37	38	37	36	36	38
ABalpppaa 1	51	50	55	54	49	54	56	53	49	51	55	52	51	53	54	52	50	52	50	50	53	52	51	50	55	54	49	54	56	53	49	51	55	52	51	53	54	52	50	52	50	50	53	52
ABalpppaaa 1	83	87	80	90	82	82	85	84	83	87	80	85	86	108	84	83	83	84	86	86	85	76	83	87	80	90	82	82	85	84	83	87	80	85	86	108	84	83	83	84	86	86	85	76
ABalpppaaaa NA																																												
ABalpppaaap NA																																												
ABalpppaap 1	93	93	92	97	90	84	85	88	92	90	88	92	86	97	88	92	83	91	91	86	85	86	93	93	92	97	90	84	85	88	92	90	88	92	86	97	88	92	83	91	91	86	85	86
ABalpppaapd NA																																												
ABalpppaapv NA																																												
ABalpppap 1	46	44	45	44	43	44	46	41	44	46	46	45	46	47	46	44	42	44	45	49	44	48	46	44	45	44	43	44	46	41	44	46	46	45	46	47	46	44	42	44	45	49	44	48
ABalpppapa 1	81	78	74	76	69	80	79	76	78	80	72	78	69	81	79	73	77	78	81	82	73	76	81	78	74	76	69	80	79	76	78	80	72	78	69	81	79	73	77	78	81	82	73	76
ABalpppapad NA																																												
ABalpppapav NA																																												
ABalpppapp 1	63	65	67	63	66	66	62	64	63	65	66	65	65	67	69	64		65	67	65	65	63	63	65	67	63	66	66	62	64	63	65	66	65	65	67	69	64		65	67	65	65	63
ABalpppappa NA																																												
ABalpppappp 1																			86	88	77	89																			86	88	77	89
ABalpppapppa NA																																												
ABalpppapppp NA																																												
ABalpppp 1	36	34	35	33	33	32	33	33	33	33	34	33	34	32	32	34	33	36	34	33	33	37	36	34	35	33	33	32	33	33	33	33	34	33	34	32	32	34	33	36	34	33	33	37
ABalppppa 1	48	47	47	46	45	48	46	44	47	47	47	48	46	49	57	46	46	48	45	50	48	49	48	47	47	46	45	48	46	44	47	47	47	48	46	49	57	46	46	48	45	50	48	49
ABalppppaa 1	81	85	78	77	75	83	74	74	78	77	74	78	77	77	84	73	82	76	72	78	73	78	81	85	78	77	75	83	74	74	78	77	74	78	77	77	84	73	82	76	72	78	73	78
ABalppppaad NA																																												
ABalppppaav NA																																												
ABalppppap 1	68	73	78	68	66	69	74	70	73	74	71	73	69	74	71	66	71	70	66	68	65	68	68	73	78	68	66	69	74	70	73	74	71	73	69	74	71	66	71	70	66	68	65	68
ABalppppapa 1																			103		107	114																			103		107	114
ABalppppapaa NA																																												
ABalppppapap NA																																												
ABalppppapp NA																																												
ABalppppp 1	40	40	40	37	40	42	43	40	40	42	43	38	40	42	42	39	39	42	40	43	42	43	40	40	40	37	40	42	43	40	40	42	43	38	40	42	42	39	39	42	40	43	42	43
ABalpppppa 1	68	74	74	75	75	71	72	69	75	75	69	82	74	70	69	74	74	72	76	78	70	73	68	74	74	75	75	71	72	69	75	75	69	82	74	70	69	74	74	72	76	78	70	73
ABalpppppaa NA																																												
ABalpppppap NA																																												
ABalpppppp 1	50	52	52	51	51	49	52	50	56	51	50	50	50	52	46	49	52	52	50	52	52	52	50	52	52	51	51	49	52	50	56	51	50	50	50	52	46	49	52	52	50	52	52	52
ABalppppppa 1	80			87											81	87	82		83	84	82	82	80			87											81	87	82		83	84	82	82
ABalppppppaa NA																																												
ABalppppppap NA																																												
ABalppppppp 1	75			80				71				76			68	70	72		72	74	75	78	75			80				71				76			68	70	72		72	74	75	78
ABalpppppppa NA																																												
ABalpppppppp NA																																												
ABar 1	15	6	15		9	16	14	15	10	5	6	7	14	15	15	14	14	14	14	15	15	10	15	6	15		9	16	14	15	10	5	6	7	14	15	15	14	14	14	14	15	15	10
ABara 1	20	19	17	11	17	16	17	17	18	17	18	19	17	16	16	18	19	18	17	16	18	16	20	19	17	11	17	16	17	17	18	17	18	19	17	16	16	18	19	18	17	16	18	16
ABaraa 1	27	26	24	23	28	24	24	26	24	27	28	24	26	24	27	24	25	25	26	25	25	26	27	26	24	23	28	24	24	26	24	27	28	24	26	24	27	24	25	25	26	25	25	26
ABaraaa 1	33	33	30	29	28	30	30	32	31	30	32	30	33	31	30	32	32	34	30	29	33	32	33	33	30	29	28	30	30	32	31	30	32	30	33	31	30	32	32	34	30	29	33	32
ABaraaaa 1	43	43	44	42	40	48	41	41	40	43	49	41	42	42	40	44	48	43	42	40	44	43	43	43	44	42	40	48	41	41	40	43	49	41	42	42	40	44	48	43	42	40	44	43
ABaraaaaa 1	51	50	52	52	49	51	52	50	51	52	52	50	54	52	52	52	51	56	50	49	53	51	51	50	52	52	49	51	52	50	51	52	52	50	54	52	52	52	51	56	50	49	53	51
ABaraaaaaa 1	73	86	88	90	80	85	79	75	75	85	78	75	84	81	71	82	86	85	79	80	78	74	73	86	88	90	80	85	79	75	75	85	78	75	84	81	71	82	86	85	79	80	78	74
ABaraaaaaaa NA																																												
ABaraaaaaap NA																																												
ABaraaaaap 1	77	81	86	88	82	82	80	78	82	77	78	74	89	95	80	73	79	60	86	78	76	78	77	81	86	88	82	82	80	78	82	77	78	74	89	95	80	73	79	60	86	78	76	78
ABaraaaaapa NA																																												
ABaraaaaapp NA																																												
ABaraaaap 1	56	58	64	60	56	52	56	59	55	55	58	56	59	61	54	59	58	56	56	58	58	56	56	58	64	60	56	52	56	59	55	55	58	56	59	61	54	59	58	56	56	58	58	56
ABaraaaapa 1	91	92		101	86	86	92	86	91		89	87			89	94	88	96	86	88	101	89	91	92		101	86	86	92	86	91		89	87			89	94	88	96	86	88	101	89
ABaraaaapaa NA																																												
ABaraaaapap NA																																												
ABaraaaapp NA																																												
ABaraaap 1	35	34	35	34	35	37	34	36	35	36	38	32	34	32	33	36	38	37	32	33	35	35	35	34	35	34	35	37	34	36	35	36	38	32	34	32	33	36	38	37	32	33	35	35
ABaraaapa 1	40	41	40	40	40	43	43	40	43	41	41	41	40	40	41	41	42	44	41	43	42	41	40	41	40	40	40	43	43	40	43	41	41	41	40	40	41	41	42	44	41	43	42	41
ABaraaapaa 1	68	71	74	77	75	82	77	76	81	77	74	74	72	70	69	73	79	100	70	69	71	68	68	71	74	77	75	82	77	76	81	77	74	74	72	70	69	73	79	100	70	69	71	68
ABaraaapaaa NA																																												
ABaraaapaap NA																																												
ABaraaapap 1	55	57	61	60	54	63	59	58	65	59	53	55	53	55	54	56	58	66	59	55	58	54	55	57	61	60	54	63	59	58	65	59	53	55	53	55	54	56	58	66	59	55	58	54
ABaraaapapa NA																																												
ABaraaapapp NA																																												
ABaraaapp 1	51	52	52	52	47	54	54	51	52	54	52	51	51	52	49	57	54	52	51	53	53	54	51	52	52	52	47	54	54	51	52	54	52	51	51	52	49	57	54	52	51	53	53	54
ABaraaappa 1	80	80	99	92	95	88	90	86	89	87	83	88	91	90	88	88	96	80	82	84	81	86	80	80	99	92	95	88	90	86	89	87	83	88	91	90	88	88	96	80	82	84	81	86
ABaraaappaa NA																																												
ABaraaappap NA																																												
ABaraaappp 1	73	73	78	83	73	72	79	81	75	80	74	74	77	83	69	75	79	76	74	72	70	71	73	73	78	83	73	72	79	81	75	80	74	74	77	83	69	75	79	76	74	72	70	71
ABaraaapppa NA																																												
ABaraaapppp NA																																												
ABaraap 1	33	30	30	29	28	30	30	31	30	29	31	30	29	30	30	30	32	31	28	29	31	31	33	30	30	29	28	30	30	31	30	29	31	30	29	30	30	30	32	31	28	29	31	31
ABaraapa 1	37	37	35	40	35	37	38	38	40	40	41	37	37	36	36	38	40	41	37	36	38	35	37	37	35	40	35	37	38	38	40	40	41	37	37	36	36	38	40	41	37	36	38	35
ABaraapaa 1	46	47	48	49	47	49	48	48	48	47	46	47	47	45	46	49	46	49	46	47	50	48	46	47	48	49	47	49	48	48	48	47	46	47	47	45	46	49	46	49	46	47	50	48
ABaraapaaa 1	72	74	89	86	80	74	76	80	79	82	76	84	86	77	76	75	80	81	77	82	76	79	72	74	89	86	80	74	76	80	79	82	76	84	86	77	76	75	80	81	77	82	76	79
ABaraapaaaa NA																																												
ABaraapaaap NA																																												
ABaraapaap 1	63	60	72	69	66	63	64	66	62	67	60	67	67	64	61	64	63	66	62	65	63	65	63	60	72	69	66	63	64	66	62	67	60	67	67	64	61	64	63	66	62	65	63	65
ABaraapaapa NA																																												
ABaraapaapp NA																																												
ABaraapap 1	43	46	45	44	43	46	44	43	44	46	44	47	42	43	46	46	43	47	45	44	44	46	43	46	45	44	43	46	44	43	44	46	44	47	42	43	46	46	43	47	45	44	44	46
ABaraapapa 1	54	51	52	51	51	55	56	53	52	57	57	52	53	57	51	51	52	52	54	59	52	54	54	51	52	51	51	55	56	53	52	57	57	52	53	57	51	51	52	52	54	59	52	54
ABaraapapaa 1																			142		141	143																			142		141	143
ABaraapapaad NA																																												
ABaraapapaav NA																																												
ABaraapapap NA																																												
ABaraapapp 1	88	104	94	106	88	100	90	89	86	88	81	87	88	91	81	100	95	98	96	96	86	84	88	104	94	106	88	100	90	89	86	88	81	87	88	91	81	100	95	98	96	96	86	84
ABaraapappa NA																																												
ABaraapappp NA																																												
ABaraapp 1	35	34	33	36	35	37	36	36	36	35	37	32	35	35	33	36	38	36	34	34	38	37	35	34	33	36	35	37	36	36	36	35	37	32	35	35	33	36	38	36	34	34	38	37
ABaraappa 1	44	46	50	47	45	49	48	45	46	44	47	46	46	44	47	46	46	47	45	46	47	44	44	46	50	47	45	49	48	45	46	44	47	46	46	44	47	46	46	47	45	46	47	44
ABaraappaa 1	81	87	99	85	86	84	84	83	82	80	75	80	84	74	78	82	83	86	77	84	73	79	81	87	99	85	86	84	84	83	82	80	75	80	84	74	78	82	83	86	77	84	73	79
ABaraappaaa NA																																												
ABaraappaap NA																																												
ABaraappap 1	63	63	74	60	65	64	64	64	62	62	62	62	64	62	61	59	61	65	62	65	60	63	63	63	74	60	65	64	64	64	62	62	62	62	64	62	61	59	61	65	62	65	60	63
ABaraappapa NA																																												
ABaraappapp NA																																												
ABaraappp 1	44	46	45	46	43	49	46	46	43	49	44	46	44	46	47	44	45	50	45	48	47	46	44	46	45	46	43	49	46	46	43	49	44	46	44	46	47	44	45	50	45	48	47	46
ABaraapppa 1	52	52	56	56	54	54	54	55	56	56	50	55	53	51	53	54	52	53	50	56	50	57	52	52	56	56	54	54	54	55	56	56	50	55	53	51	53	54	52	53	50	56	50	57
ABaraapppaa NA																			147																						147			
ABaraapppaad NA																																												
ABaraapppaav NA																																												
ABaraapppap NA																																												
ABaraapppp 1	94	93	103	97	93	88	92	89	84	95	83	93	82	99	84	92	92	91	91	91	89	89	94	93	103	97	93	88	92	89	84	95	83	93	82	99	84	92	92	91	91	91	89	89
ABaraappppa NA																																												
ABaraappppp NA																																												
ABarap 1	27	26	25	23	26	22	26	26	24	27	29	24	26	24	26	24	26	25	26	25	25	25	27	26	25	23	26	22	26	26	24	27	29	24	26	24	26	24	26	25	26	25	25	25
ABarapa 1	31	30	28	29	30	30	29	32	31	30	32	30	29	29	30	32	31	31	30	31	31	31	31	30	28	29	30	30	29	32	31	30	32	30	29	29	30	32	31	31	30	31	31	31
ABarapaa 1	40	38	36	36	35	38	38	38	36	40	40	39	37	38	38	39	41	38	36	37	38	38	40	38	36	36	35	38	38	38	36	40	40	39	37	38	38	39	41	38	36	37	38	38
ABarapaaa 1	51	53	55	51	52	55	56	56	52	55	52	53	51	49	52	54	53	52	51	53	55	51	51	53	55	51	52	55	56	56	52	55	52	53	51	49	52	54	53	52	51	53	55	51
ABarapaaaa 1	75	81	80	79	77	74	85	78	75	80	72	77	74	74	73	73	79	75	71	74	71	73	75	81	80	79	77	74	85	78	75	80	72	77	74	74	73	73	79	75	71	74	71	73
ABarapaaaaa NA																																												
ABarapaaaap NA																																												
ABarapaaap 1	83	81		99	92	83	89	98	97	85	82	82	86	86	89	82	83	82	79	84	86	87	83	81		99	92	83	89	98	97	85	82	82	86	86	89	82	83	82	79	84	86	87
ABarapaaapa NA																																												
ABarapaaapp NA																																												
ABarapaap 1	43	46	42	44	43	44	43	46	44	47	44	43	42	43	42	47	43	44	41	48	45	43	43	46	42	44	43	44	43	46	44	47	44	43	42	43	42	47	43	44	41	48	45	43
ABarapaapa 1	91	96	92	101	95	95	95	98	106	95	97	97	88	83	89	95	93	94	86	98	91	87	91	96	92	101	95	95	95	98	106	95	97	97	88	83	89	95	93	94	86	98	91	87
ABarapaapaa NA																																												
ABarapaapap NA																																												
ABarapaapp 1	55	60	58	58	58	62	57	56	56	57	54	55	55	55	56	54	58	58	54	56	53	57	55	60	58	58	58	62	57	56	56	57	54	55	55	55	56	54	58	58	54	56	53	57
ABarapaappa NA																																												
ABarapaappp NA																																												
ABarapap 1	35	35	32	33	33	32	34	33	33	35	35	32	34	32	33	36	36	34	34	34	33	35	35	35	32	33	33	32	34	33	33	35	35	32	34	32	33	36	36	34	34	34	33	35
ABarapapa 1	44	49	45	44	43	46	49	46	44	49	46	45	44	43	47	44	48	44	45	47	48	44	44	49	45	44	43	46	49	46	44	49	46	45	44	43	47	44	48	44	45	47	48	44
ABarapapaa 1	75	70	74	83	82	77	79	78	73	77	81	75	77	72	73	76	77	79	69	80	73	71	75	70	74	83	82	77	79	78	73	77	81	75	77	72	73	76	77	79	69	80	73	71
ABarapapaaa NA																																												
ABarapapaap 1															93				98		94	111															93				98		94	111
ABarapapaapa NA																																												
ABarapapaapp NA																																												
ABarapapap 1	59	71	66	68	69	64	70	69	65	67	60	65	67	62	60	68	64	65	64	64	62	63	59	71	66	68	69	64	70	69	65	67	60	65	67	62	60	68	64	65	64	64	62	63
ABarapapapa NA																																												
ABarapapapp NA																																												
ABarapapp 1	42	43	44	40	40	41	41	43	41	42	43	41	40	40	41	41	42	43	38	42	40	40	42	43	44	40	40	41	41	43	41	42	43	41	40	40	41	41	42	43	38	42	40	40
ABarapappa 1	111	112		117	113	115	108	111	116	105	116	117			112	114	104	117	116	120	111	120	111	112		117	113	115	108	111	116	105	116	117			112	114	104	117	116	120	111	120
ABarapappaa NA																																												
ABarapappap NA																																												
ABarapappp 1	50	53	52	49	52	55	52	56	49	52	48	52	48	52	48	52	52	57	50	50	50	54	50	53	52	49	52	55	52	56	49	52	48	52	48	52	48	52	52	57	50	50	50	54
ABarapapppa NA																																												
ABarapapppp NA																																												
ABarapp 1	33	30	28	31	32	30	29	31	31	30	31	30	29	30	30	30	31	31	30	31	31	33	33	30	28	31	32	30	29	31	31	30	31	30	29	30	30	30	31	31	30	31	31	33
ABarappa 1	38	40	36	34	35	38	36	38	38	36	38	37	39	36	38	41	40	39	39	36	38	37	38	40	36	34	35	38	36	38	38	36	38	37	39	36	38	41	40	39	39	36	38	37
ABarappaa 1	51	53	56	56	50	55	54	51	52	54	52	53	51	51	52	51	52	53	50	53	53	52	51	53	56	56	50	55	54	51	52	54	52	53	51	51	52	51	52	53	50	53	53	52
ABarappaaa 1	78	84	86	88	80	83	82	81	79	77	77	84	81	73	76	75	80	65	74	86	81	76	78	84	86	88	80	83	82	81	79	77	77	84	81	73	76	75	80	65	74	86	81	76
ABarappaaaa NA																																												
ABarappaaap NA																																												
ABarappaap 1	80	84	92	90	84	88	85	84	94	93	77	84	84	82	79	83	95	90	86	88	83	79	80	84	92	90	84	88	85	84	94	93	77	84	84	82	79	83	95	90	86	88	83	79
ABarappaapa NA																																												
ABarappaapp NA																																												
ABarappap 1	46	47	48	49	45	51	52	46	44	49	46	48	47	48	49	49	46	48	45	50	47	48	46	47	48	49	45	51	52	46	44	49	46	48	47	48	49	49	46	48	45	50	47	48
ABarappapa 1	70	68	72	67	71	77	74	73	73	70	68	72	67	70	68	70	72	75	72	70	68	66	70	68	72	67	71	77	74	73	73	70	68	72	67	70	68	70	72	75	72	70	68	66
ABarappapaa NA																																												
ABarappapap 1																			117		113	111																			117		113	111
ABarappapapa NA																																												
ABarappapapp NA																																												
ABarappapp 1	73	78	78	76	78	75	79	78	75	74	74	75	74	79	76	80	79	84	79	74	78	70	73	78	78	76	78	75	79	78	75	74	74	75	74	79	76	80	79	84	79	74	78	70
ABarappappa NA																																												
ABarappappp NA																																												
ABarappp 1	35	37	33	33	33	35	34	35	35	35	37	36	35	35	33	36	37	37	34	34	36	35	35	37	33	33	33	35	34	35	35	35	37	36	35	35	33	36	37	37	34	34	36	35
ABarapppa 1	48	47	52	49	50	51	49	48	49	51	46	50	49	47	47	47	48	48	50	50	45	48	48	47	52	49	50	51	49	48	49	51	46	50	49	47	47	47	48	48	50	50	45	48
ABarapppaa 1	78	85	89	86	80	83	87	83	82	83	78	78	81	82	83	76	82	80	79	83	81	78	78	85	89	86	80	83	87	83	82	83	78	78	81	82	83	76	82	80	79	83	81	78
ABarapppaaa NA																																												
ABarapppaap NA																																												
ABarapppap 1	78	76	81	74	78	77	77	76	78	74	74	75	76	78	74	81	77	88	77	75	78	76	78	76	81	74	78	77	77	76	78	74	74	75	76	78	74	81	77	88	77	75	78	76
ABarapppapa NA																																												
ABarapppapp NA																																												
ABarapppp 1	44	46	47	46	45	49	49	46	47	49	46	45	46	47	44	44	45	47	45	47	47	48	44	46	47	46	45	49	49	46	47	49	46	45	46	47	44	44	45	47	45	47	47	48
ABarappppa 1	76	78	81	77	67	75	80	78	76	74	68	75	77	78	83	73	77	73	76	78	73	71	76	78	81	77	67	75	80	78	76	74	68	75	77	78	83	73	77	73	76	78	73	71
ABarappppaa NA																																												
ABarappppap NA																																												
ABarappppp 1	65	67	66	67	65	63	67	68	70	69	65	67	69	72	68	66	68	66	62	65	68	63	65	67	66	67	65	63	67	68	70	69	65	67	69	72	68	66	68	66	62	65	68	63
ABarapppppa 1																			123		120	121																			123		120	121
ABarapppppaa NA																																												
ABarapppppap NA																																												
ABarapppppp NA																																												
ABarp 1	18	19	17	11	17	16	17	17	16	17	18	17	17	16	16	18	17	18	17	16	18	16	18	19	17	11	17	16	17	17	16	17	18	17	17	16	16	18	17	18	17	16	18	16
ABarpa 1	28	26	27	27	30	25	27	29	28	27	28	28	28	26	27	26	28	28	26	25	25	26	28	26	27	27	30	25	27	29	28	27	28	28	28	26	27	26	28	28	26	25	25	26
ABarpaa 1	28	28	27	27	28	26	27	27	26	27	28	26	26	26	27	28	28	28	27	29	28	28	28	28	27	27	28	26	27	27	26	27	28	26	26	26	27	28	28	28	27	29	28	28
ABarpaaa 1	44	44	46	47	42	52	52	42	41	41	49	44	47	44	50	48	44	45	45	43	44	44	44	44	46	47	42	52	52	42	41	41	49	44	47	44	50	48	44	45	45	43	44	44
ABarpaaaa 1	50	50	53	51	52	54	52	48	51	52	50	50	51	48	48	50	49	50	52	52	50	49	50	50	53	51	52	54	52	48	51	52	50	50	51	48	48	50	49	50	52	52	50	49
ABarpaaaaa 1	93	104		96	101			94	94		83	94	93	100	99	89	96	99	90	91	94	87	93	104		96	101			94	94		83	94	93	100	99	89	96	99	90	91	94	87
ABarpaaaaal NA																																												
ABarpaaaaar NA																																												
ABarpaaaap 1	96	98		90	97			84	94	82	91	87	96	104	94	87	92	91	88	84	94	86	96	98		90	97			84	94	82	91	87	96	104	94	87	92	91	88	84	94	86
ABarpaaaapa NA																																												
ABarpaaaapp NA																																												
ABarpaaap 1	53	56	62	58	58	55	57	54	57	57	55	53	53	61	54	54	55	53	53	58	53	59	53	56	62	58	58	55	57	54	57	57	55	53	53	61	54	54	55	53	53	58	53	59
ABarpaaapa 1	103	89		85	95			86	78	80	81	87	82	96	84	87	88	89	88	84	86	81	103	89		85	95			86	78	80	81	87	82	96	84	87	88	89	88	84	86	81
ABarpaaapaa NA																																												
ABarpaaapap NA																																												
ABarpaaapp NA																																												
ABarpaap 1	35	34	35	34	37	37	34	33	33	33	37	33	34	35	38	34	36	37	34	32	35	34	35	34	35	34	37	37	34	33	33	33	37	33	34	35	38	34	36	37	34	32	35	34
ABarpaapa 1	45	44	48	46	47	46	46	43	43	42	47	44	47	47	49	44	45	45	45	46	47	44	45	44	48	46	47	46	46	43	43	42	47	44	47	47	49	44	45	45	45	46	47	44
ABarpaapaa NA																																												
ABarpaapap NA																																												
ABarpaapp 1	45	46	48	47	47	49	48	41	43	44	46	44	47	47	51	44	43	46	45	48	45	46	45	46	48	47	47	49	48	41	43	44	46	44	47	47	51	44	43	46	45	48	45	46
ABarpaappa NA																																												
ABarpaappp NA																																												
ABarpap 1	31	28	28	27	28	28	29	27	28	29	29	28	28	29	28	30	28	28	28	28	30	28	31	28	28	27	28	28	29	27	28	29	29	28	28	29	28	30	28	28	28	28	30	28
ABarpapa 1	35	37	34	36	37	35	33	35	33	36	37	36	37	34	36	36	37	36	35	34	35	37	35	37	34	36	37	35	33	35	33	36	37	36	37	34	36	36	37	36	35	34	35	37
ABarpapaa 1	49	50	55	51	50	52	52	53	49	51	50	48	49	49	52	49	52	51	51	50	52	49	49	50	55	51	50	52	52	53	49	51	50	48	49	49	52	49	52	51	51	50	52	49
ABarpapaaa 1	85	92		94	95	91	89	86	94	90	91	92	91	100	91	88	102	84	88	90	89	89	85	92		94	95	91	89	86	94	90	91	92	91	100	91	88	102	84	88	90	89	89
ABarpapaaaa NA																																												
ABarpapaaap NA																																												
ABarpapaap 1	60	62	69	60	62	58	64	63	63	62	62	63	59	70	63	59	63	61	64	62	60	62	60	62	69	60	62	58	64	63	63	62	62	63	59	70	63	59	63	61	64	62	60	62
ABarpapaapa NA																																												
ABarpapaapp 1											85								95	84	79	94											85								95	84	79	94
ABarpapaappa NA																																												
ABarpapaappp NA																																												
ABarpapap 1	48	50	52	51	49	52	51	51	49	51	49	50	47	49	51	52	50	52	51	49	50	49	48	50	52	51	49	52	51	51	49	51	49	50	47	49	51	52	50	52	51	49	50	49
ABarpapapa NA																																												
ABarpapapp NA																																												
ABarpapp 1	35	37	38	36	38	35	33	35	33	36	37	37	37	34	41	37	37	34	39	36	33	37	35	37	38	36	38	35	33	35	33	36	37	37	37	34	41	37	37	34	39	36	33	37
ABarpappa 1	53	55	58	56	56	54	57	56	52	54	56	56	54	56	57	56	53	53	53	55	55	52	53	55	58	56	56	54	57	56	52	54	56	56	54	56	57	56	53	53	53	55	55	52
ABarpappaa NA																																												
ABarpappap NA																																												
ABarpappp 1	48	49	48	49	49	49	54	48	44	49	50	47	47	49	51	49	46	48	50	49	48	46	48	49	48	49	49	49	54	48	44	49	50	47	47	49	51	49	46	48	50	49	48	46
ABarpapppa NA																																												
ABarpapppp NA																																												
ABarpp 1	30	29	27	27	34	27	29	29	28	29	29	30	30	27	29	26	28	30	27	27	27	26	30	29	27	27	34	27	29	29	28	29	29	30	30	27	29	26	28	30	27	27	27	26
ABarppa 1	29	29	27	29	28	28	27	27	30	27	28	28	28	29	28	30	29	29	27	28	28	29	29	29	27	29	28	28	27	27	30	27	28	28	28	29	28	30	29	29	27	28	28	29
ABarppaa 1	38	38	41	40	40	38	43	40	38	40	40	39	39	40	41	39	40	43	39	37	43	38	38	38	41	40	40	38	43	40	38	40	40	39	39	40	41	39	40	43	39	37	43	38
ABarppaaa 1	54	55	56	58	54	58	56	54	57	57	55	53	59	52	59	54	52	58	56	55	60	59	54	55	56	58	54	58	56	54	57	57	55	53	59	52	59	54	52	58	56	55	60	59
ABarppaaaa NA																																												
ABarppaaap NA																																												
