paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABalaapaap 1	90	90		83	92	88	87	86	82	88	81	85	89		91	87	93	91	88	84	86	81	90	90		83	92	88	87	86	82	88	81	85	89		91	87	93	91	88	84	86	81
ABalaapaapa NA																																												
ABalaapaapp NA																																												
ABalaapap 1	51	52	55	51	52	51	52	51	52	54	50	55	51	50	54	50	51	57	52	52	53	51	51	52	55	51	52	51	52	51	52	54	50	55	51	50	54	50	51	57	52	52	53	51
ABalaapapa NA																																												
ABalaapapp 1	73	70	78	69	75	69	77	78	72	72	69	74	70	78	76	72	70	84	72	70	72	70	73	70	78	69	75	69	77	78	72	72	69	74	70	78	76	72	70	84	72	70	72	70
ABalaapappa NA																																												
ABalaapappp NA																																												
ABalaapp 1	35	37	38	34	36	34	36	36	36	38	38	39	37	36	36	37	36	37	36	39	36	35	35	37	38	34	36	34	36	36	36	38	38	39	37	36	36	37	36	37	36	39	36	35
ABalaappa 1	53	55	53	51	54	55	57	51	54	52	53	55	52	53	57	51	54	52	50	53	52	52	53	55	53	51	54	55	57	51	54	52	53	55	52	53	57	51	54	52	50	53	52	52
ABalaappaa NA																																												
ABalaappap 1	70	78	74	74	82	77	77	78	79	75	71	74	84	85	76	76	76	76	76	78	68	74	70	78	74	74	82	77	77	78	79	75	71	74	84	85	76	76	76	76	76	78	68	74
ABalaappapa NA																																												
ABalaappapp NA																																												
ABalaappp 1	46	44	47	44	43	46	52	46	46	47	46	46	44	44	46	47	45	46	45	49	47	46	46	44	47	44	43	46	52	46	46	47	46	46	44	44	46	47	45	46	45	49	47	46
ABalaapppa 1	91	88	94	88	95	95	90	93	92	90	86	88	89	115	89	90	92	85	94	91	94	86	91	88	94	88	95	95	90	93	92	90	86	88	89	115	89	90	92	85	94	91	94	86
ABalaapppaa NA																																												
ABalaapppap NA																																												
ABalaapppp 1	64	67	61	63	66	64	66	68	65	64	63	65	64	68	63	65	70	66	67	67	66	60	64	67	61	63	66	64	66	68	65	64	63	65	64	68	63	65	70	66	67	67	66	60
ABalaappppa 1																			118		113	120																			118		113	120
ABalaappppaa NA																																												
ABalaappppap NA																																												
ABalaappppp NA																																												
ABalap 1	27	26	25	25	28	24	24	27	26	27	26	24	25	24	27	24	26	27	26	22	27	26	27	26	25	25	28	24	24	27	26	27	26	24	25	24	27	24	26	27	26	22	27	26
ABalapa 1	31	30	28	29	32	30	30	31	30	29	34	30	31	29	28	32	31	32	30	31	31	31	31	30	28	29	32	30	30	31	30	29	34	30	31	29	28	32	31	32	30	31	31	31
ABalapaa 1	38	40	38	40	37	38	39	38	38	38	43	41	37	38	36	42	38	41	36	39	38	37	38	40	38	40	37	38	39	38	38	38	43	41	37	38	36	42	38	41	36	39	38	37
ABalapaaa 1	51	49	55	51	49	54	52	53	52	52	50	55	52	53	49	52	54	53	55	55	53	54	51	49	55	51	49	54	52	53	52	52	50	55	52	53	49	52	54	53	55	55	53	54
ABalapaaaa 1		121													124		124		113	122	114	111		121													124		124		113	122	114	111
ABalapaaaaa NA																																												
ABalapaaaap NA																																												
ABalapaaap 1	70	76	70	74	75	74	74	70	67	64	68	70	69	73	71	70	70	68	74	71	71	68	70	76	70	74	75	74	74	70	67	64	68	70	69	73	71	70	70	68	74	71	71	68
ABalapaaapa NA																																												
ABalapaaapp NA																																												
ABalapaap 1	46	47	50	47	47	51	51	50	46	47	46	48	49	47	46	51	48	48	48	55	50	49	46	47	50	47	47	51	51	50	46	47	46	48	49	47	46	51	48	48	48	55	50	49
ABalapaapa 1	85	95	89	92	97	92		91	95	93	90	90	105	119	94	90	88	94	93	114	91	87	85	95	89	92	97	92		91	95	93	90	90	105	119	94	90	88	94	93	114	91	87
ABalapaapaa NA																																												
ABalapaapap NA																																												
ABalapaapp 1	60	65	67	62	66	66	70	64	60	64	62	68	67	73	66	63	66	61	64	65	65	63	60	65	67	62	66	66	70	64	60	64	62	68	67	73	66	63	66	61	64	65	65	63
ABalapaappa 1																			118		115	120																			118		115	120
ABalapaappaa NA																																												
ABalapaappap NA																																												
ABalapaappp NA																																												
ABalapap 1	34	35	36	34	35	34	34	35	35	35	38	36	35	35	33	34	34	37	32	37	36	33	34	35	36	34	35	34	34	35	35	35	38	36	35	35	33	34	34	37	32	37	36	33
ABalapapa 1	51	53	56	51	49	54	57	51	49	47	53	55	52	52	51	56	52	55	53	56	52	52	51	53	56	51	49	54	57	51	49	47	53	55	52	52	51	56	52	55	53	56	52	52
ABalapapaa NA																																												
ABalapapap 1	62	62	61	62	64	66	64	64	63	60	57	63	65	68	61	68	63	63	66	68	63	62	62	62	61	62	64	66	64	64	63	60	57	63	65	68	61	68	63	63	66	68	63	62
ABalapapapa 1																			120		97	114																			120		97	114
ABalapapapaa NA																																												
ABalapapapap NA																																												
ABalapapapp NA																																												
ABalapapp 1	45	44	47	46	45	44	48	46	44	47	44	47	46	46	44	44	45	46	43	47	47	46	45	44	47	46	45	44	48	46	44	47	44	47	46	46	44	44	45	46	43	47	47	46
ABalapappa 1	57	59	55	56	60	64	61	60	57	62	62	57	60	56	56	56	60	57	57	61	58	60	57	59	55	56	60	64	61	60	57	62	62	57	60	56	56	56	60	57	57	61	58	60
ABalapappaa 1																			118		122	122																			118		122	122
ABalapappaaa NA																																												
ABalapappaap NA																																												
ABalapappap NA																																												
ABalapappp 1	75	73	74	70	75	77	74	76	75	75	77	77	77	72	73	73	76	72	70	80	75	66	75	73	74	70	75	77	74	76	75	75	77	77	77	72	73	73	76	72	70	80	75	66
ABalapapppa NA																																												
ABalapapppp NA																																												
ABalapp 1	31	33	28	29	30	30	29	31	30	29	34	30	31	29	30	32	31	32	32	31	31	29	31	33	28	29	30	30	29	31	30	29	34	30	31	29	30	32	31	32	32	31	31	29
ABalappa 1	46	44	42	42	38	42	41	41	41	43	46	42	42	39	41	42	41	42	40	40	41	43	46	44	42	42	38	42	41	41	41	43	46	42	42	39	41	42	41	42	40	40	41	43
ABalappaa 1	55	57	64	61	63	60	61	58	60	60	58	63	56	58	56	57	59	57	56	62	60	59	55	57	64	61	63	60	61	58	60	60	58	63	56	58	56	57	59	57	56	62	60	59
ABalappaaa NA																																												
ABalappaap 1	101	104		101	94				84						91	101	106	102	105	94	98	97	101	104		101	94				84						91	101	106	102	105	94	98	97
ABalappaapa NA																																												
ABalappaapp NA																																												
ABalappap 1	45	46	52	47	49	46	49	46	46	47	47	50	47	44	47	47	46	46	46	50	47	51	45	46	52	47	49	46	49	46	46	47	47	50	47	44	47	47	46	46	46	50	47	51
ABalappapa 1	104	114		108	114	101		84	86	78					109	88	111	118	103	117	111	98	104	114		108	114	101		84	86	78					109	88	111	118	103	117	111	98
ABalappapaa NA																																												
ABalappapap NA																																												
ABalappapp 1	67	64	72	69	62	64	64	66	68	70	66	65	65	64	63	64	64	66	64	67	65	65	67	64	72	69	62	64	64	66	68	70	66	65	65	64	63	64	64	66	64	67	65	65
ABalappappa NA																																												
ABalappappp NA																																												
ABalappp 1	37	35	36	34	35	34	34	36	36	36	38	36	34	35	33	34	34	37	34	36	35	35	37	35	36	34	35	34	34	36	36	36	38	36	34	35	33	34	34	37	34	36	35	35
ABalapppa 1	44	44	48	44	45	44	49	43	43	44	46	47	47	46	44	46	45	46	45	49	45	48	44	44	48	44	45	44	49	43	43	44	46	47	47	46	44	46	45	46	45	49	45	48
ABalapppaa 1	76	76	83	72	71	77	70	74	72	75	71	74	77	76	78	70	74	81	76	72	78	70	76	76	83	72	71	77	70	74	72	75	71	74	77	76	78	70	74	81	76	72	78	70
ABalapppaaa NA																																												
ABalapppaap NA																																												
ABalapppap 1	62	64	67	61	66	61	66	60	60	62	63	65	67	65	64	63	66	62	66	66	63	63	62	64	67	61	66	61	66	60	60	62	63	65	67	65	64	63	66	62	66	66	63	63
ABalapppapa 1																			118		110	117																			118		110	117
ABalapppapaa NA																																												
ABalapppapap NA																																												
ABalapppapp NA																																												
ABalapppp 1	46	44	44	46	45	44	46	45	43	44	46	48	46	44	44	44	45	46	43	52	47	48	46	44	44	46	45	44	46	45	43	44	46	48	46	44	44	44	45	46	43	52	47	48
ABalappppa 1	55	57	58	61	58	60	59	58	62	60	57	58	58	56	58	54	57	58	54	61	60	59	55	57	58	61	58	60	59	58	62	60	57	58	58	56	58	54	57	58	54	61	60	59
ABalappppaa 1																			125		107	128																			125		107	128
ABalappppaaa NA																																												
ABalappppaap NA																																												
ABalappppap NA																																												
ABalappppp 1	65	73	70	74	73	75	70	66	70	67	71	74	72	72	71	70	76	68	71	68	70	68	65	73	70	74	73	75	70	66	70	67	71	74	72	72	71	70	76	68	71	68	70	68
ABalapppppa NA																																												
ABalapppppp NA																																												
ABalp 1	20	19	17	11	19	18	17	17	18	17	20	19	18	16	16	16	19	18	17	16	18	16	20	19	17	11	19	18	17	17	18	17	20	19	18	16	16	16	19	18	17	16	18	16
ABalpa 1	25	26	25	23	28	24	26	27	24	27	26	24	26	23	26	26	26	28	26	25	25	26	25	26	25	23	28	24	26	27	24	27	26	24	26	23	26	26	26	28	26	25	25	26
ABalpaa 1	31	30	27	27	32	30	30	29	30	29	31	30	29	30	30	30	31	29	28	29	31	29	31	30	27	27	32	30	30	29	30	29	31	30	29	30	30	30	31	29	28	29	31	29
ABalpaaa 1	44	43	42	40	38	38	43	40	43	43	46	41	44	39	40	44	43	43	44	42	44	43	44	43	42	40	38	38	43	40	43	43	46	41	44	39	40	44	43	43	44	42	44	43
ABalpaaaa 1	51	50	56	54	52	54	56	51	55	54	52	50	51	53	54	54	54	56	50	58	55	51	51	50	56	54	52	54	56	51	55	54	52	50	51	53	54	54	54	56	50	58	55	51
ABalpaaaaa 1	72	72	80	76	73	66	79	75	73	70	72	68	84	78	71	68	74	74	72	74	75	68	72	72	80	76	73	66	79	75	73	70	72	68	84	78	71	68	74	74	72	74	75	68
ABalpaaaaaa NA																																												
ABalpaaaaap NA																																												
ABalpaaaap 1	83	79	85	85	84	81	82	84	84	80	84	77	93	90	78	78	95	86	79	88	86	76	83	79	85	85	84	81	82	84	84	80	84	77	93	90	78	78	95	86	79	88	86	76
ABalpaaaapa NA																																												
ABalpaaaapp NA																																												
ABalpaaap 1	50	49	53	52	50	51	51	51	51	54	52	50	51	51	49	54	49	52	52	53	53	51	50	49	53	52	50	51	51	51	51	54	52	50	51	51	49	54	49	52	52	53	53	51
ABalpaaapa 1	83	82		88	82	77	85	80	81	83	78	80	84	90	78	82	86	86	83	86	88	79	83	82		88	82	77	85	80	81	83	78	80	84	90	78	82	86	86	83	86	88	79
ABalpaaapaa NA																																												
ABalpaaapap NA																																												
ABalpaaapp 1	78	82	89	85	86	72	77	76	81	90	86	80	79	88	76	82	82	82	76	78	76	78	78	82	89	85	86	72	77	76	81	90	86	80	79	88	76	82	82	82	76	78	76	78
ABalpaaappa NA																																												
